0,220.3,0.36,36.57,0.46
0.47,220.3,0.336,36.7,0.49
1,220.4,0.306,36.81,0.54
1.47,220.7,0.285,37.25,0.59
2,220.5,0.273,37.07,0.62
2.2,220.8,0.253,36.9,0.64
2.47,220.5,0.263,37.47,0.65
2.67,220.6,0.267,37.55,0.64
3.2,220.7,0.262,37.73,0.66
3.67,220.7,0.26,38.05,0.69
4.2,220.6,0.27,38.01,0.64
4.4,220.6,0.25,37.84,0.69
4.67,220.6,0.257,38.2,0.68
4.87,220.8,0.274,38.35,0.63
5.4,221,0.235,38.6,0.75
5.87,220.4,0.28,38.58,0.62
6.4,220.6,0.276,38.92,0.58
6.6,220.7,0.3,38.76,0.58
6.87,220.6,0.32,38.84,0.54
7.07,220.8,0.336,39.2,0.52
7.6,220.9,0.353,39.22,0.5
8.07,220.5,0.36,39.43,0.49
8.6,220.8,0.391,39.65,0.45
9.07,220.5,0.416,39.76,0.42
